[2m2023-04-07T03:28:12.971495Z[0m [32m INFO[0m [2msqlx::query[0m[2m:[0m SELECT bpc.id, name, number, …; rows affected: 21017, rows returned: 21017, elapsed: 281.325ms

SELECT
  bpc.id,
  name,
  number,
  rarity,
  sale_price,
  bpcs.cardset_name,
  bpcs.ref as cardset_ref,
  set_id,
  last_fetched_at,
  remark
FROM
  bigweb_pokemon_card bpc
  LEFT JOIN bigweb_pokemon_cardset bpcs ON bpc.set_id = bpcs.id
  
ProductId,Brand,Set,Edition,Series,Rarity,Material,ReleaseYear,Language,CardNameEnglish,CardNameChinese,CardNameJapanese,CardNumber,Image,Value,Reference,Remark,Remark1,Remark2,Remark3,Remark4,Remark5,Remark6,Remark7,Remark8,Remark9,Remark10,Enable,P_Language,id
,Pokemon,ファントムゲート ,,,RR,,,ja,,,ライボルトEX,,,108,xy4,,20230331174036,31/03/2023 17:40,5330,3074473,,,,,,,,,
,Pokemon,ポケモンカードneo プレミアムファイル 3種 ,,,,,,ja,,,メガニウム,,,882,旧裏,,20230331174036,31/03/2023 17:40,6965,3176099,,,,,【Lv.54】,,,,
,Pokemon,ポケモンカードneo プレミアムファイル 3種 ,,,TD,,,ja,,,チコリータ,,,342,旧裏,,20230331174036,31/03/2023 17:40,6965,3176102,,,,,【Lv.19】,,,,
,Pokemon,ファントムゲート ,,,RR,,,ja,,,MライボルトEX,,,162,xy4,,20230331174036,31/03/2023 17:40,5330,3074474,,,,,,,,,
,Pokemon,ファントムゲート ,,,RR,,,ja,,,カラマネロEX,,,252,xy4,,20230331174036,31/03/2023 17:40,5330,3074477,,,,,,,,,
,Pokemon,ファントムゲート ,,,RR,,,ja,,,フラージェスEX,,,72,xy4,,20230331174036,31/03/2023 17:40,5330,3074478,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,エネルギー回収,XY-P/003 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966509,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,なんでもなおし,XY-P/007 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966513,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ガブリアスEX,XY-P/010 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966516,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ピッピ,XY-P/014 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966525,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ちからのハチマキ,XY-P/019 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966531,,,,,(ファミ通ナビBOOK),,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ゲッコウガEX,XY-P/021 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966533,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ディグダ,XY-P/023 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966535,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ヌメラ,XY-P/026 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966538,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,プラターヌ博士,XY-P/028 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966540,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ブリガロンEX,XY-P/029 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966541,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,炎のトーチ,XY-P/032 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966544,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ケロマツ,XY-P/036 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966549,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ケロマツ,XY-P/036 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966550,,,,,(丸美屋 スペシャルカード),,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ダークライ,XY-P/037 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966551,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ルチャブルEX,XY-P/038 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966552,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,タマザラシ,XY-P/040 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966554,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ワルビアルEX,XY-P/044 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966558,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,改造ハンマー,XY-P/046 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966560,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,マフォクシーEX,XY-P/048 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966562,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,日本代表のピカチュウ,XY-P/050 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966564,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ポケテレのADピカチュウ,XY-P/056 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966571,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,クレッフィ,XY-P/057 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966572,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ケロマツ,XY-P/063 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966578,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ピカチュウ,XY-P/064 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966581,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ルチャブル,XY-P/065 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966582,,,,,(マクドナルド オリジナルロゴ入りカード キャンペーン),,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ルカリオEX,XY-P/066 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966584,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ピカチュウ,XY-P/068 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966586,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ピカチュウ,XY-P/069,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966587,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ピカチュウ,XY-P/070 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966588,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ゲッコウガ,XY-P/073 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966591,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,フシギバナEX,XY-P/074 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966592,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,リザードンEX,XY-P/075 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966593,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,カメックスEX,XY-P/076 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966594,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,MゲンガーEX,XY-P/079 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966597,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ソーナンス,XY-P/080 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966598,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,エルレイドEX,XY-P/084 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966602,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ハピナス,XY-P/087 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966605,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ピカチュウ,XY-P/090 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966608,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ニンフィア,XY-P/091 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966609,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,ディアンシーEX,XY-P/092 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966610,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,MディアンシーEX,XY-P/093 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966611,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,あったかピカチュウ,XY-P/094 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966612,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,あったかピカチュウ,XY-P/095 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966613,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,あったかピカチュウ,XY-P/096 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966614,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,あったかピカチュウ,XY-P/097 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966615,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,おきがえピカチュウ,XY-P/099 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966617,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,レックウザ,XY-P/100 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966618,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,メタグロスEX,XY-P/101 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966619,,,,,,,,,
,Pokemon,XY プロモーションカード ,,,,,,ja,,,MメタグロスEX,XY-P/102 ,,,xy-p,,20230331174036,31/03/2023 17:40,5363,2966620,,,,,,,,,
